"","LOCATION","region","Year","GDP","gdp_growth","average_annual_wage","cpi","current_account_balance","productivity","unemployment_rate","GERD","govt_fiscal_balance","govt_debt","current_account_flows","investment_flows"
"1","AUS","Australia",1995,405197.2748,3.948807,46488,4.627767,-4.928352,81.41396,8.469256,NA,-2.67750255854441,NA,45.0364238535644,9.71906993606471
"2","AUS","Australia",1996,425324.6896,3.947615,47943,2.615385,-3.387903,81.460803,8.506213,1.57783653897919,-0.845587047731164,NA,44.9887482368649,10.5587119512747
"3","AUS","Australia",1997,450867.3965,4.44014,49421,0.2248875,-2.828846,82.508856,8.36223,NA,0.510354703305429,NA,46.9846995388484,10.7264410564071
"4","AUS","Australia",1998,477997.6375,5.006807,50201,0.8601346,-4.683134,83.468282,7.675598,1.43610305958132,0.774396135265701,NA,47.5856682769726,9.02463768115942
"5","AUS","Australia",1999,510054.3583,3.867869,51515,1.483129,-5.295156,82.733151,6.872334,NA,2.06586396378011,NA,45.8928368971225,13.8894809641505
"6","AUS","Australia",2000,539799.3782,1.930054,51693,4.457435,-3.920754,83.127241,6.282619,1.47542214202555,-1.07557340781427,NA,51.3438294039165,13.4465088479156
"7","AUS","Australia",2001,568862.8296,3.852927,51178,4.407135,-2.07358,84.015923,6.742314,NA,-0.676188102271462,NA,50.0571445239371,13.6607232826148
"8","AUS","Australia",2002,599770.3593,3.068305,51579,2.981575,-3.689242,82.59407,6.367617,1.64818042208768,0.81263792950734,NA,48.2662518229462,16.7243231240028
"9","AUS","Australia",2003,636095.5758,4.145671,52135,2.732596,-5.357986,81.699058,5.928698,NA,0.814062320593724,NA,44.245371535538,17.9532114230839
"10","AUS","Australia",2004,675258.5873,3.203548,53746,2.343255,-6.238483,80.439319,5.394726,1.73035558517411,1.01057057252301,NA,46.0019829982283,18.2873613662099
"11","AUS","Australia",2005,719165.7998,2.978054,54446,2.691832,-5.922052,79.57328,5.03248,NA,1.67678560340044,NA,48.041079344349,7.86773204281001
"12","AUS","Australia",2006,774486.9906,3.749727,54778,3.555288,-5.79441,80.165957,4.782292,2.00261163834326,1.58463915250497,NA,51.542062090782,29.8414625174722
"13","AUS","Australia",2007,826249.057,3.698141,56333,2.327611,-6.683324,80.085614,4.376954,NA,0.66058199419923,NA,52.2486679351786,21.9642876835857
"14","AUS","Australia",2008,851398.3039,1.811957,56765,4.350298,-4.912113,79.457787,4.234159,2.24724445715012,-3.87332443936218,NA,57.9264341528492,16.9700940219808
"15","AUS","Australia",2009,900317.3356,2.00588,56257,1.771117,-4.607609,81.034151,5.560666,NA,-5.61098659892656,NA,49.9849711909291,24.9706360191999
"16","AUS","Australia",2010,938600.7763,2.372821,58028,2.91834,-3.579606,79.134777,5.211326,2.19186609587633,-4.49433581813361,NA,50.6554682858281,15.5555492533546
"17","AUS","Australia",2011,987220.3409,3.63425,59768,3.30385,-2.958842,80.102973,5.080888,2.1226875174712,-4.54401937065483,NA,52.211275281701,18.5363947226764
"18","AUS","Australia",2012,991827.7729,2.569856,60286,1.76278,-4.130462,78.551027,5.220877,NA,-2.9128743218623,NA,50.5031328374126,14.9699940230267
